Title,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hot,cluster
Formed a Band,Art Brut,0.407,0.657,2,-12.644,1,0.0392,0.00243,0.548,0.0956,0.701,140.054,audio_features,2xbbSGG1gmurW5jncFgeZ5,spotify:track:2xbbSGG1gmurW5jncFgeZ5,https://api.spotify.com/v1/tracks/2xbbSGG1gmurW5jncFgeZ5,https://api.spotify.com/v1/audio-analysis/2xbbSGG1gmurW5jncFgeZ5,177805,4,No,6
Poison Arrow,ABC,0.736,0.876,11,-5.894,0,0.0839,0.182,0.00776,0.119,0.802,125.843,audio_features,7abGerACQx9G1OBqHYFKAb,spotify:track:7abGerACQx9G1OBqHYFKAb,https://api.spotify.com/v1/tracks/7abGerACQx9G1OBqHYFKAb,https://api.spotify.com/v1/audio-analysis/7abGerACQx9G1OBqHYFKAb,204267,4,No,5
Ooh Poo Pah Do,Jessie Hill,0.696,0.698,11,-10.588,0,0.0676,0.0471,0.0,0.462,0.656,131.432,audio_features,02v6Ie89lZ4bArlzp9MKzi,spotify:track:02v6Ie89lZ4bArlzp9MKzi,https://api.spotify.com/v1/tracks/02v6Ie89lZ4bArlzp9MKzi,https://api.spotify.com/v1/audio-analysis/02v6Ie89lZ4bArlzp9MKzi,137627,4,No,13
Dooms Night,Azzido Da Bass,0.506,0.882,9,-8.683,1,0.0737,0.000655,0.795,0.174,0.14,107.994,audio_features,5soMJpcVhSrGrB4prvPL6P,spotify:track:5soMJpcVhSrGrB4prvPL6P,https://api.spotify.com/v1/tracks/5soMJpcVhSrGrB4prvPL6P,https://api.spotify.com/v1/audio-analysis/5soMJpcVhSrGrB4prvPL6P,257735,4,No,6
Raspberry Beret,Prince and The Revolution,0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0684,0.91,120.75,audio_features,2I1W3hcSsPIsEJfD69pHrW,spotify:track:2I1W3hcSsPIsEJfD69pHrW,https://api.spotify.com/v1/tracks/2I1W3hcSsPIsEJfD69pHrW,https://api.spotify.com/v1/audio-analysis/2I1W3hcSsPIsEJfD69pHrW,215173,4,No,10
The Passenger,Iggy Pop,0.498,0.889,0,-5.413,1,0.0546,0.0947,1.62e-06,0.733,0.696,134.88,audio_features,15BQ7vEDv2LJuh8TxWIhtd,spotify:track:15BQ7vEDv2LJuh8TxWIhtd,https://api.spotify.com/v1/tracks/15BQ7vEDv2LJuh8TxWIhtd,https://api.spotify.com/v1/audio-analysis/15BQ7vEDv2LJuh8TxWIhtd,283360,4,No,13
Stuck in the Middle with You,Stealer's Wheel,0.82,0.575,7,-9.144,1,0.0408,0.0936,0.000135,0.109,0.964,123.765,audio_features,3Vby4nGmtbDo7HDJamOWkT,spotify:track:3Vby4nGmtbDo7HDJamOWkT,https://api.spotify.com/v1/tracks/3Vby4nGmtbDo7HDJamOWkT,https://api.spotify.com/v1/audio-analysis/3Vby4nGmtbDo7HDJamOWkT,208947,4,No,10
Do They Know It's Christmas?,Band Aid,0.598,0.643,0,-6.933,1,0.0364,0.164,3.35e-05,0.0992,0.349,115.41,audio_features,4Yg2w0P29BBBMixyeNjDtj,spotify:track:4Yg2w0P29BBBMixyeNjDtj,https://api.spotify.com/v1/tracks/4Yg2w0P29BBBMixyeNjDtj,https://api.spotify.com/v1/audio-analysis/4Yg2w0P29BBBMixyeNjDtj,222533,4,No,0
Los Angeles,X,0.694,0.572,9,-10.372,1,0.0281,0.00538,6.28e-06,0.0746,0.199,115.99,audio_features,4loXMor75kKVBB03ygwDlh,spotify:track:4loXMor75kKVBB03ygwDlh,https://api.spotify.com/v1/tracks/4loXMor75kKVBB03ygwDlh,https://api.spotify.com/v1/audio-analysis/4loXMor75kKVBB03ygwDlh,389095,4,No,0
Ain't Nothin' Goin' on But the Rent,Gwen Guthrie,0.793,0.681,10,-11.772,0,0.0825,0.084,0.00022,0.532,0.888,107.244,audio_features,4De6tTVXe0N3V0OPOmkvT3,spotify:track:4De6tTVXe0N3V0OPOmkvT3,https://api.spotify.com/v1/tracks/4De6tTVXe0N3V0OPOmkvT3,https://api.spotify.com/v1/audio-analysis/4De6tTVXe0N3V0OPOmkvT3,359560,4,No,13
Blue Monday,Fats Domino,0.388,0.832,11,-9.718,1,0.0385,0.592,0.0,0.135,0.91,151.298,audio_features,7iwQPvyViIkyT0HWnatjnk,spotify:track:7iwQPvyViIkyT0HWnatjnk,https://api.spotify.com/v1/tracks/7iwQPvyViIkyT0HWnatjnk,https://api.spotify.com/v1/audio-analysis/7iwQPvyViIkyT0HWnatjnk,143667,3,No,4
Funky Cold Medina,Toné Loc,0.988,0.633,5,-15.012,0,0.0888,0.0755,1.88e-06,0.0668,0.929,117.493,audio_features,5YIF6HSOtHN9HdcE5IPzMe,spotify:track:5YIF6HSOtHN9HdcE5IPzMe,https://api.spotify.com/v1/tracks/5YIF6HSOtHN9HdcE5IPzMe,https://api.spotify.com/v1/audio-analysis/5YIF6HSOtHN9HdcE5IPzMe,248160,4,No,10
Little Darlin',The Diamonds,0.631,0.587,6,-11.402,1,0.042,0.536,0.29,0.333,0.664,152.851,audio_features,7ycFNferNuk6wAjBa0vWvl,spotify:track:7ycFNferNuk6wAjBa0vWvl,https://api.spotify.com/v1/tracks/7ycFNferNuk6wAjBa0vWvl,https://api.spotify.com/v1/audio-analysis/7ycFNferNuk6wAjBa0vWvl,129333,4,No,3
Turning Japanese,The Vapors,0.503,0.908,0,-5.845,1,0.0641,0.0273,7.88e-05,0.396,0.92,179.929,audio_features,1MANhf0nwr6gFwsRJMeDbr,spotify:track:1MANhf0nwr6gFwsRJMeDbr,https://api.spotify.com/v1/tracks/1MANhf0nwr6gFwsRJMeDbr,https://api.spotify.com/v1/audio-analysis/1MANhf0nwr6gFwsRJMeDbr,224107,4,No,4
Pour Some Sugar on Me,Def Leppard,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,audio_features,0PdM2a6oIjqepoEfcJo0RO,spotify:track:0PdM2a6oIjqepoEfcJo0RO,https://api.spotify.com/v1/tracks/0PdM2a6oIjqepoEfcJo0RO,https://api.spotify.com/v1/audio-analysis/0PdM2a6oIjqepoEfcJo0RO,267307,4,No,1
There Goes the Fear,Doves,0.499,0.975,5,-4.504,1,0.0538,8.6e-05,0.0721,0.0258,0.509,109.997,audio_features,2wzTHuw8nhFSXUU27x0PFa,spotify:track:2wzTHuw8nhFSXUU27x0PFa,https://api.spotify.com/v1/tracks/2wzTHuw8nhFSXUU27x0PFa,https://api.spotify.com/v1/audio-analysis/2wzTHuw8nhFSXUU27x0PFa,414080,4,No,1
Return of the Grievous Angel,Gram Parsons,0.632,0.565,10,-8.669,1,0.027,0.486,0.0,0.3,0.616,128.821,audio_features,7vOYp7KJ8gVmVbcatSVf9J,spotify:track:7vOYp7KJ8gVmVbcatSVf9J,https://api.spotify.com/v1/tracks/7vOYp7KJ8gVmVbcatSVf9J,https://api.spotify.com/v1/audio-analysis/7vOYp7KJ8gVmVbcatSVf9J,266227,4,No,3
Love and Happiness,Al Green,0.823,0.457,6,-10.961,1,0.234,0.206,0.000183,0.0763,0.735,99.163,audio_features,6SMHgPgNkhe9lneNTbgtel,spotify:track:6SMHgPgNkhe9lneNTbgtel,https://api.spotify.com/v1/tracks/6SMHgPgNkhe9lneNTbgtel,https://api.spotify.com/v1/audio-analysis/6SMHgPgNkhe9lneNTbgtel,307063,4,No,11
It Don't Come Easy,Ringo Starr,0.609,0.624,7,-11.717,1,0.0292,0.0396,0.000168,0.277,0.691,123.191,audio_features,4RFqi5JQduiSlRZCVlUDGH,spotify:track:4RFqi5JQduiSlRZCVlUDGH,https://api.spotify.com/v1/tracks/4RFqi5JQduiSlRZCVlUDGH,https://api.spotify.com/v1/audio-analysis/4RFqi5JQduiSlRZCVlUDGH,184333,4,No,10
Big Time Sensuality,Björk,0.723,0.732,1,-12.251,0,0.0963,7.67e-05,0.0135,0.18,0.516,118.582,audio_features,0X0LTI0MQG9S3FLSUvjrj5,spotify:track:0X0LTI0MQG9S3FLSUvjrj5,https://api.spotify.com/v1/tracks/0X0LTI0MQG9S3FLSUvjrj5,https://api.spotify.com/v1/audio-analysis/0X0LTI0MQG9S3FLSUvjrj5,236640,4,No,10
A Roller Skating Jam Named 'Saturdays',De La Soul Feat. Q-Tip,0.896,0.897,6,-5.561,1,0.122,0.0403,0.000255,0.338,0.769,115.02,audio_features,1ihXWWbKNIrb7S7ERA6Qcb,spotify:track:1ihXWWbKNIrb7S7ERA6Qcb,https://api.spotify.com/v1/tracks/1ihXWWbKNIrb7S7ERA6Qcb,https://api.spotify.com/v1/audio-analysis/1ihXWWbKNIrb7S7ERA6Qcb,242000,4,No,5
Rocks,Primal Scream,0.508,0.808,0,-12.496,0,0.0403,0.0846,0.000727,0.0719,0.209,94.255,audio_features,5Vx3e9PipiEceifVyBzCdj,spotify:track:5Vx3e9PipiEceifVyBzCdj,https://api.spotify.com/v1/tracks/5Vx3e9PipiEceifVyBzCdj,https://api.spotify.com/v1/audio-analysis/5Vx3e9PipiEceifVyBzCdj,230533,4,No,0
I'm Only Sleeping,The Beatles,0.494,0.47,8,-9.599,0,0.0301,0.21,0.0,0.28,0.698,103.477,audio_features,2ylCrFiBu98SC0vFfaCent,spotify:track:2ylCrFiBu98SC0vFfaCent,https://api.spotify.com/v1/tracks/2ylCrFiBu98SC0vFfaCent,https://api.spotify.com/v1/audio-analysis/2ylCrFiBu98SC0vFfaCent,180320,4,No,0
911 Is a Joke,Public Enemy,0.732,0.788,1,-12.641,0,0.213,0.0118,0.0,0.137,0.765,103.584,audio_features,3iTrlBCVU1Cd1VkNDqKWWO,spotify:track:3iTrlBCVU1Cd1VkNDqKWWO,https://api.spotify.com/v1/tracks/3iTrlBCVU1Cd1VkNDqKWWO,https://api.spotify.com/v1/audio-analysis/3iTrlBCVU1Cd1VkNDqKWWO,197267,4,No,11
We Can Work It Out,The Beatles,0.378,0.677,2,-8.63,1,0.0298,0.0635,0.0,0.183,0.648,106.071,audio_features,1hTUFqJuQAMjXVGwUPWDqi,spotify:track:1hTUFqJuQAMjXVGwUPWDqi,https://api.spotify.com/v1/tracks/1hTUFqJuQAMjXVGwUPWDqi,https://api.spotify.com/v1/audio-analysis/1hTUFqJuQAMjXVGwUPWDqi,135693,4,No,1
